taxon_id	ab_id	original_name	algae	ab_empire	ab_kingdom	ab_phylum	ab_class	ab_subclass	ab_order	ab_family	link	world_distribution_summary
105557	56442	Bicosta minor (Reynolds) Leadbeater, 1978		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=56442	EUR 
105558	56444	Bicosta spinifera (Throndsen) Leadbeater, 1978		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=56444	EUR 
105559	56446	Calliacantha longicaudata (Leadbeater) Leadbeater, 1978		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=56446	EUR 
105560	106326	Calliacantha multispina Manton & Oates, 1979		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=106326	EUR 
105561	56448	Calliacantha natans (Grøntved) Leadbeater, 1978		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=56448	EUR 
105562	56450	Calliacantha simplex Manton & Oates, 1979		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Craspedida	Salpingoecidae	https://www.algaebase.org/search/species/detail/?species_id=56450	EUR 
105567	143476	Cosmoeca norvegica Thomsen, 1984		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=143476	EUR 
105568	56452	Cosmoeca ventricosa Thomsen, 1984		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56452	EUR 
105569	56453	Crinolina isefiordensis Thomsen, 1976		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56453	EUR 
105570	56454	Crucispina cruciformis (Leadbeater) Espeland, 1986		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56454	EUR 
105571	56455	Diaphanoeca grandis Ellis, 1930		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56455	EUR 
105573	56456	Diaphanoeca pedicellata Leadbeater, 1972		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56456	EUR 
105574	70162	Diaphanoeca sphaerica Thomsen, 1982		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=70162	EUR 
105575	141004	Diaphanoeca undulata Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141004	EUR 
105578	141057	Monocosta fennica Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141057	EUR 
105579	141062	Nannoeca minuta (Leadbeater) Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141062	EUR 
105582	83172	Parvicorbicula circularis Thomsen, 1976		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=83172	EUR 
105587	56458	Parvicorbicula quadricostata Throndsen, 1970		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56458	EUR 
105588	56460	Parvicorbicula socialis (Meunier) Deflandre, 1960		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56460	EUR 
105590	56461	Parvicorbicula superpositus Booth, 1990		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56461	EUR 
105591	141081	Platypleura infundibuliformis (Leadbeater) Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141081	EUR 
105595	141082	Pleurasiga echinocostata Espeland		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141082	EUR 
105598	56462	Pleurasiga minima Throndsen, 1970		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56462	EUR 
105601	56463	Pleurasiga reynoldsii Throndsen, 1970		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56463	EUR 
105605	56465	Polyfibula sphyrelata (Thomsen) Manton, 1981		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=56465	EUR 
105607	143533	Polyoeca dichotoma W.S.Kent, 1881		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=143533	EUR 
105610	141106	Saepicula pulchra Leadbeater		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141106	EUR 
105611	141113	Saroeca attenuata Thomsen		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141113	EUR 
105612	141114	Savillea micropora (Norris) Leadbeater		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141114	EUR 
105613	141115	Savillea parva (Ellis) Loeblich III		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=141115	EUR 
