strain	strain_link	taxa_link	class	environment	scientific_name
NIVA-CYA 361	https://norcca.scrol.net/strain/niva-cya-361	https://norcca.scrol.net/species/pseudanabaena-redekei	Cyanophyceae	Freshwater	Pseudanabaena redekei
NIVA-CYA 362	https://norcca.scrol.net/strain/niva-cya-362	https://norcca.scrol.net/species/pseudanabaena-limnetica	Cyanophyceae	Freshwater	Pseudanabaena limnetica
NIVA-CYA 363	https://norcca.scrol.net/strain/niva-cya-363	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Freshwater	Nostoc sp.
NIVA-CYA 364	https://norcca.scrol.net/strain/niva-cya-364	https://norcca.scrol.net/species/aphanizomenon-cf-klebahnii	Cyanophyceae	Freshwater	Aphanizomenon cf. klebahnii
NIVA-CYA 365	https://norcca.scrol.net/strain/niva-cya-365	https://norcca.scrol.net/species/aphanizomenon-cf-klebahnii	Cyanophyceae	Freshwater	Aphanizomenon cf. klebahnii
NIVA-CYA 366	https://norcca.scrol.net/strain/niva-cya-366	https://norcca.scrol.net/species/jaaginema-sp	Cyanophyceae	Freshwater	Jaaginema sp.
NIVA-CYA 367	https://norcca.scrol.net/strain/niva-cya-367	https://norcca.scrol.net/species/kamptonema-cortianum	Cyanophyceae	Freshwater	Kamptonema cortianum
NIVA-CYA 368	https://norcca.scrol.net/strain/niva-cya-368	https://norcca.scrol.net/species/unidentified-chroococcal-species	Cyanophyceae	Freshwater	Unidentified chroococcal species
NIVA-CYA 369	https://norcca.scrol.net/strain/niva-cya-369	https://norcca.scrol.net/node/3940		Freshwater	Anathece cf. clathrata
NIVA-CYA 37/2	https://norcca.scrol.net/strain/niva-cya-372	https://norcca.scrol.net/species/planktothrix-rubescens-var	Cyanophyceae	Freshwater	Planktothrix rubescens var.
NIVA-CYA 37/3	https://norcca.scrol.net/strain/niva-cya-373	https://norcca.scrol.net/species/planktothrix-rubescens-var	Cyanophyceae	Freshwater	Planktothrix rubescens var.
NIVA-CYA 37/4	https://norcca.scrol.net/strain/niva-cya-374	https://norcca.scrol.net/species/planktothrix-rubescens-var	Cyanophyceae	Freshwater	Planktothrix rubescens var.
NIVA-CYA 370	https://norcca.scrol.net/strain/niva-cya-370	https://norcca.scrol.net/species/chroococcus-cf-dispersus	Cyanophyceae	Freshwater	Chroococcus cf. dispersus
NIVA-CYA 371	https://norcca.scrol.net/strain/niva-cya-371-0	https://norcca.scrol.net/species/aphanizomenon-cf-klebahnii	Cyanophyceae	Freshwater	Aphanizomenon cf. klebahnii
NIVA-CYA 372	https://norcca.scrol.net/strain/niva-cya-372-0	https://norcca.scrol.net/species/aphanizomenon-cf-klebahnii	Cyanophyceae	Freshwater	Aphanizomenon cf. klebahnii
NIVA-CYA 373	https://norcca.scrol.net/strain/niva-cya-373-0	https://norcca.scrol.net/species/aphanizomenon-cf-klebahnii	Cyanophyceae	Freshwater	Aphanizomenon cf. klebahnii
NIVA-CYA 374	https://norcca.scrol.net/strain/niva-cya-374-0	https://norcca.scrol.net/species/pseudanabaena-sp	Cyanophyceae	Freshwater	Pseudanabaena sp.
NIVA-CYA 375	https://norcca.scrol.net/strain/niva-cya-375	https://norcca.scrol.net/species/cyanobium-sp	Cyanophyceae	Freshwater	Cyanobium sp.
