ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Tetra�dron minimum	178956	exact	Tetra�dron minimum	(A.Braun) Hansgirg, 1888	178956	Tetra�dron minimum	(A.Braun) Hansgirg, 1888	178956	
Lacrymaria	603050	exact	Lacrymaria	Ehrenberg, 1830	603050	Lacrymaria	Ehrenberg, 1830	603050	manually corrected
Euglenozoa	536202	exact	Euglenozoa	Cavalier-Smith, 1981	536202	Euglenozoa	Cavalier-Smith, 1981	536202	
Astasia	163791	exact	Astasia	Dujardin, 1841	163791	Astasia	Dujardin, 1841	163791	
Euglena geniculata	163316	exact	Euglena geniculata	Dujardin, 1841	163316	Euglena geniculata	Dujardin, 1841	163316	
Trachelomonas hispida var. coronata	671198	exact	Trachelomonas hispida var. coronata	Lemmermann, 1913	671198	Trachelomonas hispida var. coronata	Lemmermann, 1913	671198	
Trachelomonas playfairii	647556	exact	Trachelomonas playfairii	Skvortzov, 1927	647556	Trachelomonas playfairii	Skvortzov, 1927	647556	
Phacus helicoides	163373	phonetic	Phacus helikoides	Pochmann, 1942	163373	Phacus helikoides	Pochmann, 1942	163373	
Kolkwitziellaceae	231845	exact	Kolkwitziellaceae	Lindemann, 1928	109435	Protoperidiniaceae	J.P. Bujak & E.H. Davies	109435	
Peridinium umbonatum	110196	exact	Peridinium umbonatum	F.Stein, 1883	837535	Parvodinium umbonatum	(F.Stein) Carty, 2008	837535	
Amphidinium klebsii	109735	exact	Amphidinium klebsii	Kofoid & Swezy, 1921	109735	Amphidinium klebsii	Kofoid & Swezy, 1921	109735	
Amphidinium operculatum	109745	exact	Amphidinium operculatum	Claparède & Lachmann, 1859	109745	Amphidinium operculatum	Claparède & Lachmann, 1859	109745	
Amphidinium pellucidum	109748	exact	Amphidinium pellucidum	E.C.Herdman, 1922	547469	Gymnodinium venator	Flo Jørgensen & Murray, 2004	547469	
Amphidinium semilunatum	109753	exact	Amphidinium semilunatum	E.C.Herdman, 1924	836894	Ankistrodinium semilunatum	(Herdman) Hoppenrath, Shauna Murray, Sparmann & Leander, 2012	836894	
Amphidinium steinii	1367877	exact	Amphidinium steinii	(Lemmermann) Kofoid & Swezy, 1921	1367877	Amphidinium steinii	(Lemmermann) Kofoid & Swezy, 1921	1367877	
Cochlodinium helix	109767	exact	Cochlodinium helix	(Pouchet) Lemmermann, 1899	109767	Cochlodinium helix	(Pouchet) Lemmermann, 1899	109767	
Gymnodinium irregulare	232792	exact	Gymnodinium irregulare	B.Hope, 1954	232792	Gymnodinium irregulare	B.Hope, 1954	232792	
