Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
NIVA-CYA 831	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-831-0	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 832	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-832-0	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 833	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-833	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 834	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-834	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 835	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-835	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 836	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-836	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 837	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-837	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 838	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-838	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 839	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-839	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 85	Planktothrix prolifica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-85	https://norcca.scrol.net/species/planktothrix-prolifica
NIVA-CYA 850	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-850	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 851	Aphanizomenon gracile	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-851	https://norcca.scrol.net/species/aphanizomenon-gracile
NIVA-CYA 852	Tychonema bourrellyi	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/niva-cya-852	https://norcca.scrol.net/species/tychonema-bourrellyi
NIVA-CYA 853	Tychonema bourrellyi	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/niva-cya-853	https://norcca.scrol.net/species/tychonema-bourrellyi
