Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
K-1312	Pycnococcus provasolii	Chlorophyta	Prasinophyceae	Marine	https://norcca.scrol.net/strain/k-1312	https://norcca.scrol.net/species/pycnococcus-provasolii
K-1313	Unident. sp.			Marine	https://norcca.scrol.net/strain/k-1313	https://norcca.scrol.net/species/unident-sp
K-1314	Thalassiosira sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1314	https://norcca.scrol.net/species/thalassiosira-sp
K-1317	Melosira nummuloides	Bacillariophyta	Coscinodiscophyceae	Marine	https://norcca.scrol.net/strain/k-1317	https://norcca.scrol.net/species/melosira-nummuloides
K-1321	Phaeocystis globosa	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1321	https://norcca.scrol.net/species/phaeocystis-globosa
K-1323	Phaeocystis globosa	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1323	https://norcca.scrol.net/species/phaeocystis-globosa
K-1330	Unident. diatom sp.	Ochrophyta	Ochrophyta_X	Marine	https://norcca.scrol.net/strain/k-1330	https://norcca.scrol.net/species/unident-diatom-sp
K-1331	Unident. diatom sp.	Ochrophyta	Ochrophyta_X	Marine	https://norcca.scrol.net/strain/k-1331	https://norcca.scrol.net/species/unident-diatom-sp
K-1333	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1333	https://norcca.scrol.net/species/dolichospermum-circinale
K-1334	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1334	https://norcca.scrol.net/species/dolichospermum-circinale
K-1335	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1335	https://norcca.scrol.net/species/dolichospermum-circinale
K-1336	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1336	https://norcca.scrol.net/species/dolichospermum-circinale
K-1337	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1337	https://norcca.scrol.net/species/dolichospermum-circinale
K-1338	Dolichospermum circinale	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1338	https://norcca.scrol.net/species/dolichospermum-circinale
K-1339	Amphidinium sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1339	https://norcca.scrol.net/species/amphidinium-sp
K-1340	Heterocapsa sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1340	https://norcca.scrol.net/species/heterocapsa-sp
K-1341	Cryptophyceae	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-1341	https://norcca.scrol.net/species/cryptophyceae
K-1344	Alexandrium pseudogonyaulax	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1344	https://norcca.scrol.net/species/alexandrium-pseudogonyaulax
K-1346	Micrasterias truncata	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1346	https://norcca.scrol.net/species/micrasterias-truncata
K-1349	Staurastrum sp.	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1349	https://norcca.scrol.net/species/staurastrum-sp
K-1351	Coolia sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1351	https://norcca.scrol.net/species/coolia-sp
K-1352	Coolia sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1352	https://norcca.scrol.net/species/coolia-sp
K-1353	Nodularia spumigena	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1353	https://norcca.scrol.net/species/nodularia-spumigena
K-1354	Alexandrium ostenfeldii	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1354	https://norcca.scrol.net/species/alexandrium-ostenfeldii
K-1357	Ochromonas sp.	Ochrophyta	Chrysophyceae	Freshwater	https://norcca.scrol.net/strain/k-1357	https://norcca.scrol.net/species/ochromonas-sp
K-1358	Chaetoceros compressus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1358	https://norcca.scrol.net/species/chaetoceros-compressus
K-1359	Chaetoceros pseudocurvisetus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1359	https://norcca.scrol.net/species/chaetoceros-pseudocurvisetus
K-1361	Chaetoceros debilis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1361	https://norcca.scrol.net/species/chaetoceros-debilis
K-1363	Chaetoceros compressus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1363	https://norcca.scrol.net/species/chaetoceros-compressus
K-1364	Chaetoceros sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1364	https://norcca.scrol.net/species/chaetoceros-sp
K-1365	Chaetoceros compressus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1365	https://norcca.scrol.net/species/chaetoceros-compressus
K-1368	Chaetoceros sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1368	https://norcca.scrol.net/species/chaetoceros-sp
K-1369	Chaetoceros diadema	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1369	https://norcca.scrol.net/species/chaetoceros-diadema
K-1370	Chaetoceros wighamii	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1370	https://norcca.scrol.net/species/chaetoceros-wighamii
K-1379	Pandorina morum	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1379	https://norcca.scrol.net/species/pandorina-morum
K-1380	Trachelomonas sp.	Euglenozoa	Euglenophyceae	Freshwater	https://norcca.scrol.net/strain/k-1380	https://norcca.scrol.net/species/trachelomonas-sp
K-1381	Cosmarium reniforme	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1381	https://norcca.scrol.net/species/cosmarium-reniforme
K-1395	Odontella mobiliensis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1395	https://norcca.scrol.net/species/odontella-mobiliensis
K-1396	Odontella sinensis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1396	https://norcca.scrol.net/species/odontella-sinensis
K-1399	Unident. diatom sp.	Ochrophyta	Ochrophyta_X	Marine	https://norcca.scrol.net/strain/k-1399	https://norcca.scrol.net/species/unident-diatom-sp
K-1421	Lauderia sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1421	https://norcca.scrol.net/species/lauderia-sp
K-1426	Skeletonema sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1426	https://norcca.scrol.net/species/skeletonema-sp
K-1430	Thalassiosira sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1430	https://norcca.scrol.net/species/thalassiosira-sp
K-1435	Thalassiosira sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1435	https://norcca.scrol.net/species/thalassiosira-sp
K-1438	Ditylum brightwellii	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1438	https://norcca.scrol.net/species/ditylum-brightwellii
K-1440	Ditylum brightwellii	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1440	https://norcca.scrol.net/species/ditylum-brightwellii
K-1444	Heterocapsa sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1444	https://norcca.scrol.net/species/heterocapsa-sp
K-1445	Unident. diatom sp.	Ochrophyta	Ochrophyta_X	Marine	https://norcca.scrol.net/strain/k-1445	https://norcca.scrol.net/species/unident-diatom-sp
K-1446	Prorocentrum donghaiense	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1446	https://norcca.scrol.net/species/prorocentrum-donghaiense
K-1449	Prorocentrum donghaiense	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1449	https://norcca.scrol.net/species/prorocentrum-donghaiense
K-1450	Heterocapsa sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1450	https://norcca.scrol.net/species/heterocapsa-sp
K-1451	Ochromonas gloeopara	Ochrophyta	Chrysophyceae	Freshwater	https://norcca.scrol.net/strain/k-1451	https://norcca.scrol.net/species/ochromonas-gloeopara
K-1452	Ochromonas tuberculata	Ochrophyta	Chrysophyceae	Freshwater	https://norcca.scrol.net/strain/k-1452	https://norcca.scrol.net/species/ochromonas-tuberculata
K-1453	Zygnema sp.	Charophyta	Zygnematophyceae	Freshwater, Gravel pit	https://norcca.scrol.net/strain/k-1453	https://norcca.scrol.net/species/zygnema-sp
K-1454	Spirogyra sp.	Charophyta	Zygnematophyceae	Freshwater, Gravel pit	https://norcca.scrol.net/strain/k-1454	https://norcca.scrol.net/species/spirogyra-sp
K-1455	Zygnema sp.	Charophyta	Zygnematophyceae	Freshwater, Gravel pit	https://norcca.scrol.net/strain/k-1455	https://norcca.scrol.net/species/zygnema-sp
K-1460	Unident. diatom sp.	Ochrophyta	Ochrophyta_X	Marine	https://norcca.scrol.net/strain/k-1460	https://norcca.scrol.net/species/unident-diatom-sp
K-1463	Euglena sanguinea	Euglenozoa	Euglenophyceae	Freshwater	https://norcca.scrol.net/strain/k-1463	https://norcca.scrol.net/species/euglena-sanguinea
K-1464	Euglena sanguinea	Euglenozoa	Euglenophyceae	Freshwater	https://norcca.scrol.net/strain/k-1464	https://norcca.scrol.net/species/euglena-sanguinea
K-1465	Euglena sanguinea	Euglenozoa	Euglenophyceae	Freshwater	https://norcca.scrol.net/strain/k-1465	https://norcca.scrol.net/species/euglena-sanguinea
K-1467	Euglena sanguinea	Euglenozoa	Euglenophyceae	Freshwater	https://norcca.scrol.net/strain/k-1467	https://norcca.scrol.net/species/euglena-sanguinea
K-1469	Enteromorpha sp.	Chlorophyta	Ulvophyceae	Marine	https://norcca.scrol.net/strain/k-1469	https://norcca.scrol.net/species/enteromorpha-sp
K-1471	Alexandrium tamarense	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1471	https://norcca.scrol.net/species/alexandrium-tamarense
K-1472	Kryptoperidinium foliaceum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1472	https://norcca.scrol.net/species/kryptoperidinium-foliaceum
K-1473	Coolia sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1473	https://norcca.scrol.net/species/coolia-sp
K-1474	Protoceratium reticulatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1474	https://norcca.scrol.net/species/protoceratium-reticulatum
K-1476	Protoceratium reticulatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1476	https://norcca.scrol.net/species/protoceratium-reticulatum
K-1477	Protoceratium reticulatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1477	https://norcca.scrol.net/species/protoceratium-reticulatum
K-1479	Protoceratium reticulatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1479	https://norcca.scrol.net/species/protoceratium-reticulatum
K-1487	Rhodomonas salina	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-1487	https://norcca.scrol.net/species/rhodomonas-salina
K-1488	Storeatula sp.	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-1488	https://norcca.scrol.net/species/storeatula-sp
K-1492	Alexandrium ostenfeldii	Myzozoa	Dinophyceae	Brackish	https://norcca.scrol.net/strain/k-1492	https://norcca.scrol.net/species/alexandrium-ostenfeldii
K-1493	Alexandrium ostenfeldii	Myzozoa	Dinophyceae	Brackish	https://norcca.scrol.net/strain/k-1493	https://norcca.scrol.net/species/alexandrium-ostenfeldii
K-1494	Alexandrium ostenfeldii	Myzozoa	Dinophyceae	Brackish	https://norcca.scrol.net/strain/k-1494	https://norcca.scrol.net/species/alexandrium-ostenfeldii
K-1496	Ectocarpus flagelliformis	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-1496	https://norcca.scrol.net/species/ectocarpus-flagelliformis
K-1499	Volvox globator	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1499	https://norcca.scrol.net/species/volvox-globator
K-1502	Scrippsiella acuminata	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1502	https://norcca.scrol.net/species/scrippsiella-acuminata
K-1506	Euastrum verrucosum var. alpinum	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1506	https://norcca.scrol.net/species/euastrum-verrucosum-var-alpinum
K-1507	Pleurotaenium trabecula	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1507	https://norcca.scrol.net/species/pleurotaenium-trabecula
K-1508	Micrasterias papillifera	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1508	https://norcca.scrol.net/species/micrasterias-papillifera
K-1518	Pentapharsodinium dalei	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1518	https://norcca.scrol.net/species/pentapharsodinium-dalei
K-1520	Pentapharsodinium dalei	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1520	https://norcca.scrol.net/species/pentapharsodinium-dalei
K-1523	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater, Birdbath	https://norcca.scrol.net/strain/k-1523	https://norcca.scrol.net/species/haematococcus-sp
K-1524	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1524	https://norcca.scrol.net/species/haematococcus-sp
K-1525	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1525	https://norcca.scrol.net/species/haematococcus-sp
K-1528	Attheya longicornis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1528	https://norcca.scrol.net/species/attheya-longicornis
K-1530	Attheya longicornis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1530	https://norcca.scrol.net/species/attheya-longicornis
K-1531	Cryptophyceae	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-1531	https://norcca.scrol.net/species/cryptophyceae
K-1532	Parvodinium centenniale	Myzozoa	Dinophyceae	Freshwater	https://norcca.scrol.net/strain/k-1532	https://norcca.scrol.net/species/parvodinium-centenniale
K-1533	Parvodinium centenniale	Myzozoa	Dinophyceae	Freshwater	https://norcca.scrol.net/strain/k-1533	https://norcca.scrol.net/species/parvodinium-centenniale
K-1534	Euastrum oblongum	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1534	https://norcca.scrol.net/species/euastrum-oblongum
K-1536	Nodularia spumigena	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1536	https://norcca.scrol.net/species/nodularia-spumigena
K-1537	Nodularia spumigena	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1537	https://norcca.scrol.net/species/nodularia-spumigena
K-1542	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1542	https://norcca.scrol.net/species/haematococcus-sp
K-1547	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1547	https://norcca.scrol.net/species/haematococcus-sp
K-1549	Heterosigma sp.	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-1549	https://norcca.scrol.net/species/heterosigma-sp
K-1550	Heterosigma sp.	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-1550	https://norcca.scrol.net/species/heterosigma-sp
K-1551	Heterosigma sp.	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-1551	https://norcca.scrol.net/species/heterosigma-sp
K-1552	Heterosigma sp.	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-1552	https://norcca.scrol.net/species/heterosigma-sp
K-1553	Heterosigma sp.	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-1553	https://norcca.scrol.net/species/heterosigma-sp
K-1554	Gymnodinium aureolum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1554	https://norcca.scrol.net/species/gymnodinium-aureolum
K-1555	Gymnodinium aureolum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1555	https://norcca.scrol.net/species/gymnodinium-aureolum
K-1556	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1556	https://norcca.scrol.net/species/emiliania-huxleyi
K-1557	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1557	https://norcca.scrol.net/species/emiliania-huxleyi
K-1558	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1558	https://norcca.scrol.net/species/emiliania-huxleyi
K-1559	Unidentified coccolithophyceaen sp.	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1559	https://norcca.scrol.net/species/unidentified-coccolithophyceaen-sp
K-1562	Gymnodinium aureolum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1562	https://norcca.scrol.net/species/gymnodinium-aureolum
K-1564	Nostoc sp.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-1564	https://norcca.scrol.net/species/nostoc-sp
K-1565	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1565	https://norcca.scrol.net/species/emiliania-huxleyi
K-1566	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1566	https://norcca.scrol.net/species/emiliania-huxleyi
K-1567	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1567	https://norcca.scrol.net/species/emiliania-huxleyi
K-1569	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1569	https://norcca.scrol.net/species/prorocentrum-cordatum
K-1570	Heterocapsa sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1570	https://norcca.scrol.net/species/heterocapsa-sp
K-1571	Chaetoceros curvisetus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1571	https://norcca.scrol.net/species/chaetoceros-curvisetus
K-1573	Dinophyte sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1573	https://norcca.scrol.net/species/dinophyte-sp
K-1574	Stanieria sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1574	https://norcca.scrol.net/species/stanieria-sp
K-1575	Stanieria sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1575	https://norcca.scrol.net/species/stanieria-sp
K-1576	Stanieria sp.	Cyanobacteria	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1576	https://norcca.scrol.net/species/stanieria-sp
K-1577	Euastrum ruzickae	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1577	https://norcca.scrol.net/species/euastrum-ruzickae
K-1578	Gephyrocapsa oceanica	Chlorophyta	Chlorophyceae	Marine	https://norcca.scrol.net/strain/k-1578	https://norcca.scrol.net/species/gephyrocapsa-oceanica
K-1592	Skeletonema sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1592	https://norcca.scrol.net/species/skeletonema-sp
K-1593	Chaetoceros sp.	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1593	https://norcca.scrol.net/species/chaetoceros-sp
K-1595	Cryptophyceae	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-1595	https://norcca.scrol.net/species/cryptophyceae
K-1597	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1597	https://norcca.scrol.net/species/haematococcus-sp
K-1607	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1607	https://norcca.scrol.net/species/haematococcus-sp
K-1608	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1608	https://norcca.scrol.net/species/haematococcus-sp
K-1609	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1609	https://norcca.scrol.net/species/haematococcus-sp
K-1610	Haematococcus sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1610	https://norcca.scrol.net/species/haematococcus-sp
K-1611	Peridinium volzii	Myzozoa	Dinophyceae	Freshwater	https://norcca.scrol.net/strain/k-1611	https://norcca.scrol.net/species/peridinium-volzii
K-1612	Desmodesmus armatus	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1612	https://norcca.scrol.net/species/desmodesmus-armatus
K-1613	Staurodesmus cf. patens	Charophyta	Zygnematophyceae	Freshwater	https://norcca.scrol.net/strain/k-1613	https://norcca.scrol.net/species/staurodesmus-cf-patens
K-1614	Unident. cyanophyte sp.	Cyanophyta	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1614	https://norcca.scrol.net/species/unident-cyanophyte-sp
K-1615	Unident. cyanophyte sp.	Cyanophyta	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1615	https://norcca.scrol.net/species/unident-cyanophyte-sp
K-1616	Unident. cyanophyte sp.	Cyanophyta	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1616	https://norcca.scrol.net/species/unident-cyanophyte-sp
K-1617	Unident. cyanophyte sp.	Cyanophyta	Cyanophyceae	Marine	https://norcca.scrol.net/strain/k-1617	https://norcca.scrol.net/species/unident-cyanophyte-sp
K-1618	Symbiodinium sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1618	https://norcca.scrol.net/species/symbiodinium-sp
K-1620	Unidentified coccolithophyceaen sp.	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1620	https://norcca.scrol.net/species/unidentified-coccolithophyceaen-sp
K-1621	Prorocentrum sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1621	https://norcca.scrol.net/species/prorocentrum-sp
K-1623	Chroomonas sp.	Cryptophyta	Cryptophyceae	Freshwater	https://norcca.scrol.net/strain/k-1623	https://norcca.scrol.net/species/chroomonas-sp
K-1624	Chroomonas sp.	Cryptophyta	Cryptophyceae	Freshwater	https://norcca.scrol.net/strain/k-1624	https://norcca.scrol.net/species/chroomonas-sp
K-1634	Karlodinium veneficum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1634	https://norcca.scrol.net/species/karlodinium-veneficum
K-1640	Karlodinium veneficum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1640	https://norcca.scrol.net/species/karlodinium-veneficum
K-1641	Heterocapsa sp.	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1641	https://norcca.scrol.net/species/heterocapsa-sp
K-1643	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1643	https://norcca.scrol.net/species/emiliania-huxleyi
K-1644	Emiliania huxleyi	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-1644	https://norcca.scrol.net/species/emiliania-huxleyi
K-1647	Apocalathium malmogiense	Myzozoa	Dinophyceae	Brackish	https://norcca.scrol.net/strain/k-1647	https://norcca.scrol.net/species/apocalathium-malmogiense
K-1648	Prorocentrum lima	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-1648	https://norcca.scrol.net/species/prorocentrum-lima
K-1654	Volvox globator	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1654	https://norcca.scrol.net/species/volvox-globator
K-1657	Desmodesmus communis	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1657	https://norcca.scrol.net/species/desmodesmus-communis
K-1658	Tetradesmus lagerheimii	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1658	https://norcca.scrol.net/species/tetradesmus-lagerheimii
K-1659	Pseudopediastrum boryanum	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-1659	https://norcca.scrol.net/species/pseudopediastrum-boryanum
K-1664	Chaetoceros holsaticus	Bacillariophyta	Mediophyceae	Brackish	https://norcca.scrol.net/strain/k-1664	https://norcca.scrol.net/species/chaetoceros-holsaticus
K-1665	Chaetoceros fallax	Bacillariophyta	Mediophyceae	Brackish	https://norcca.scrol.net/strain/k-1665	https://norcca.scrol.net/species/chaetoceros-fallax
K-1666	Chaetoceros salsugineus	Bacillariophyta	Mediophyceae	Brackish	https://norcca.scrol.net/strain/k-1666	https://norcca.scrol.net/species/chaetoceros-salsugineus
K-1670	Chaetoceros diadema	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1670	https://norcca.scrol.net/species/chaetoceros-diadema
K-1671	Chaetoceros furcellatus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1671	https://norcca.scrol.net/species/chaetoceros-furcellatus
K-1672	Chaetoceros lorenzianus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1672	https://norcca.scrol.net/species/chaetoceros-lorenzianus
K-1673	Chaetoceros diadema	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1673	https://norcca.scrol.net/species/chaetoceros-diadema
K-1676	Chaetoceros socialis	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1676	https://norcca.scrol.net/species/chaetoceros-socialis
K-1677	Chaetoceros lorenzianus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1677	https://norcca.scrol.net/species/chaetoceros-lorenzianus
K-1679	Chaetoceros peruvianus	Bacillariophyta	Mediophyceae	Marine	https://norcca.scrol.net/strain/k-1679	https://norcca.scrol.net/species/chaetoceros-peruvianus
K-1686	Ulvella leptochaete	Chlorophyta	Ulvophyceae	Marine (Acrosorium flabellatum)	https://norcca.scrol.net/strain/k-1686	https://norcca.scrol.net/species/ulvella-leptochaete
K-1687	Ulvella parasitica	Chlorophyta	Ulvophyceae	Marine (Fucus serratus, endophyte betweem epidermal cells)	https://norcca.scrol.net/strain/k-1687	https://norcca.scrol.net/species/ulvella-parasitica
K-1688	Ulvella ramosa	Chlorophyta	Ulvophyceae	Marine (Chondrus yendoi)	https://norcca.scrol.net/strain/k-1688	https://norcca.scrol.net/species/ulvella-ramosa
K-1689	Ulvella repens	Chlorophyta	Ulvophyceae	Marine (Chorda filum)	https://norcca.scrol.net/strain/k-1689	https://norcca.scrol.net/species/ulvella-repens
K-1690	Ulvella repens	Chlorophyta	Ulvophyceae	Marine (Fucus vesiculosus)	https://norcca.scrol.net/strain/k-1690	https://norcca.scrol.net/species/ulvella-repens
K-1691	Entoderma reticulata	Chlorophyta	Ulvophyceae	Marine (Hyalosiphon caespitosa)	https://norcca.scrol.net/strain/k-1691	https://norcca.scrol.net/species/entoderma-reticulata
K-1693	Ulvella witrockii	Chlorophyta	Ulvophyceae	Marine (Pilayella littoralis)	https://norcca.scrol.net/strain/k-1693	https://norcca.scrol.net/species/ulvella-witrockii
