Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Trepomonas agilis	Exakt	257037	Accepterat	Trepomonas agilis	Dujard.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 257037		Protozoa	Metamonada	Trepomonadea	Distomatida	Hexamitidae	Trepomonas	
Closterium pronum	Exakt	238710	Accepterat	Closterium pronum	Bréb., 1856		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238710		Plantae		Conjugatophyceae	Desmidiales	Closteriaceae	Closterium	
Lemnicola	Exakt	1016168	Accepterat	Lemnicola	Round & Basson		Släkte		urn:lsid: dyntaxa.se:Taxon: 1016168		Chromista	Gyrista	Bacillariophyceae	Achnanthales	Achnanthidiaceae		
Lemnicola hungarica	Exakt	237772	Accepterat	Lemnicola hungarica	(Grunow) Round & Basson		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237772	"Achnanthidium hungaricum Grunow;Achnanthes hungarica (Grunow) Grunow;Microneis hungarica (Grunow) Cleve"	Chromista	Gyrista	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Lemnicola	
Hippodonta	Exakt	1016164	Accepterat	Hippodonta	Lange-Bert. et al.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1016164		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae		
Hippodonta capitata	Exakt	237547	Accepterat	Hippodonta capitata	(Ehrenb.) Lange-Bert., Metzeltin & Witkowski		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237547	Navicula capitata Ehrenberg, 1838	Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta	
Hippodonta hungarica	Exakt	248635	Accepterat	Hippodonta hungarica	(Grunow) Lange-Bert., Metzeltin & Witkowski		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 248635	"Navicula capitata var. hungarica Grunow;Navicula capitata var. hungarica (Grunow) R.Ross"	Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta	
Ulnaria ulna	Exakt	248616	Accepterat	Ulnaria ulna	(Nitzsch) Compère		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 248616	"Ulnaria ulna var. ulna ;Synedra ulna var. ulna ;Bacillaria ulna Nitzsch;Navicula ulna (Nitzsch) Ehrenb.;Frustulia ulna (Nitzsch) C.Agardh;Synedra ulna (Nitzsch) Ehrenb.;Fragilaria ulna (Nitzsch) Lange-Bert."	Chromista	Gyrista	Bacillariophyceae	Licmophorales	Ulnariaceae	Ulnaria	
Tryblionella hungarica	Exakt	237700	Accepterat	Tryblionella hungarica	(Grunow) D.G.Mann		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237700	Nitzschia hungarica Grunow	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Tryblionella	
Sphaeropleaceae	Exakt	2002574	Accepterat	Sphaeropleaceae	Kütz.		Familj		urn:lsid: dyntaxa.se:Taxon: 2002574		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales			
Korshikoviella	Exakt	1010720	Accepterat	Korshikoviella	P.C.Silva		Släkte	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 1010720	Korschikoviella 	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Characiaceae		
Korshikoviella limnetica	Exakt	238718	Accepterat	Korshikoviella limnetica	(Lemmerm.) P.C.Silva		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238718	"Characium limneticum Lemmerm.;Korschikoviella limnetica (Lemmerm.) P.C. Silva"	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Characiaceae	Korshikoviella	
Monomorphina pyrum	Exakt	238589	Accepterat	Monomorphina pyrum	(Ehrenb.) Mereschk.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238589	"Phacus pyrum (Ehrenb.) F. Stein;Euglena pyrum Ehrenb."	Protozoa	Euglenophyta	Euglenophyceae	Euglenales	Euglenaceae	Monomorphina	
Codonosigaceae	Exakt	2003924	Accepterat	Codonosigaceae	Kent		Familj		urn:lsid: dyntaxa.se:Taxon: 2003924	Monosigidae Zhukov & Karpov, 1985	Protozoa	Choanozoa	Choanoflagellatea	Craspedida			
Leptolyngbya foveolarum	Exakt	263569	Accepterat	Leptolyngbya foveolarum	(Rabenh. ex Gomont) Anagn. & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263569	"Leptolyngbya foveolara (Gomont) Anagn. & Komárek;Lyngbya foveolarum (Gomont) Hansg.;Phormidium foveolarum Gomont"	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae	Leptolyngbya	
Myzozoa	Exakt	5000062	Accepterat	Myzozoa	Caval.-Sm.		Underfylum		urn:lsid: dyntaxa.se:Taxon: 5000062	Myzozoa Caval.-Sm. & E.E.Chao	Chromista	Miozoa					
Arcocellulus	Exakt	1010424	Accepterat	Arcocellulus	G.R. Hasle, H.A. von Stosch & E.E. Syvertsen		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010424		Chromista	Gyrista	Mediophyceae	Cymatosirales	Cymatosiraceae		
Minutocellus	Exakt	1010421	Accepterat	Minutocellus	Hasle, von Stosch, & Syvertsen		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010421		Chromista	Gyrista	Mediophyceae	Cymatosirales	Cymatosiraceae		
Lennoxia	Exakt	1010419	Accepterat	Lennoxia	Thomsen & Buck		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010419		Chromista	Gyrista	Mediophyceae	Cymatosirales	Cymatosiraceae		
Coscinodiscopsis commutata	Exakt	237411	Accepterat	Coscinodiscopsis commutata	(Grunow) Sar & Sunesen		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237411	Coscinodiscus commutatus Grunow	Chromista	Gyrista	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscopsis	
Phormidium tergestinum	Exakt	257683	Accepterat	Phormidium tergestinum	(Rabenh. ex Gomont) Anagn. & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 257683	"Phormidium tergestinum Kütz. ex Anagn. & Komárek;Phormidium tergestinum (Kütz.) Anagn. & Komárek;Oscillatoria tenuis var. tergestina Rabenh. ex Gomont;Oscillatoria tergestina Kütz."	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Phormidium	
