Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Navicula citrus	Exakt	237550	Accepterat	Navicula citrus	Krasske		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237550		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Navicula lanceolata	Exakt	237569	Accepterat	Navicula lanceolata	(C.Agardh) Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237569	"Frustulia lanceolata C.Agardh;Navicula lanceolata var. lanceolata "	Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Navicula directa	Exakt	237557	Accepterat	Navicula directa	(W.Sm.) Ralfs in A.Pritch.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237557		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Navicula cancellata	Exakt	237546	Accepterat	Navicula cancellata	Donkin		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237546		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Navicula palpebralis	Exakt	237580	Accepterat	Navicula palpebralis	Bréb. ex W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237580		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Pinnularia mesolepta	Exakt	237623	Accepterat	Pinnularia mesolepta	(Ehrenb.) W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237623	Navicula mesolepta Ehrenb.	Chromista	Gyrista	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	
Pinnularia microstauron	Exakt	237624	Accepterat	Pinnularia microstauron	(Ehrenb.) Cleve		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237624	Stauroptera microstauron Ehrenb.	Chromista	Gyrista	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	
Pinnularia borealis	Exakt	263072	Accepterat	Pinnularia borealis	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263072		Chromista	Gyrista	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	
Pinnularia viridis	Exakt	237631	Accepterat	Pinnularia viridis	(Nitzsch) Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237631	"Bacillaria viridis Nitzsch;Pinnularia viridis s.lat. "	Chromista	Gyrista	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	
Scoliotropidaceae	Exakt	2003604	Accepterat	Scoliotropidaceae	Mereschk.		Familj		urn:lsid: dyntaxa.se:Taxon: 2003604		Chromista	Gyrista	Bacillariophyceae	Naviculales			
Caloneis	Exakt	1010446	Accepterat	Caloneis	Cleve		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010446		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae		
Caloneis amphisbaena	Exakt	237534	Accepterat	Caloneis amphisbaena	(Bory) Cleve		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237534		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Caloneis	
Caloneis silicula	Exakt	237540	Accepterat	Caloneis silicula	(Ehrenb.) Cleve		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237540		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Caloneis	
Gyrosigma balticum	Exakt	237636	Accepterat	Gyrosigma balticum	(Ehrenb.) Rabenh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237636		Chromista	Gyrista	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma	
Gyrosigma fasciola	Exakt	237640	Accepterat	Gyrosigma fasciola	(Ehrenb.) Griffith & Henfrey		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237640		Chromista	Gyrista	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma	
Gyrosigma scalproides	Exakt	237646	Accepterat	Gyrosigma obtusatum	(Sull. & Wormley) C.S.Boyer		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237646	Gyrosigma scalproides (Rabenh.) Cleve	Chromista	Gyrista	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma	
Pleurosigma elongatum	Exakt	237653	Accepterat	Pleurosigma elongatum	W. Smith, 1852		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237653		Chromista	Gyrista	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma	
Pleurosigma salinarum	Exakt	237655	Accepterat	Pleurosigma salinarum	Grunow, 1880		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237655		Chromista	Gyrista	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma	
Plagiotropidaceae	Exakt	2003191	Accepterat	Plagiotropidaceae	D.G.Mann		Familj		urn:lsid: dyntaxa.se:Taxon: 2003191		Chromista	Gyrista	Bacillariophyceae	Naviculales			
Plagiotropis	Exakt	1010451	Accepterat	Plagiotropis	Pfitzer		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010451		Chromista	Gyrista	Bacillariophyceae	Naviculales	Plagiotropidaceae		
Plagiotropis lepidoptera	Exakt	237632	Accepterat	Plagiotropis lepidoptera	(Gregory) Kuntze, 1898		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237632		Chromista	Gyrista	Bacillariophyceae	Naviculales	Plagiotropidaceae	Plagiotropis	
Tropidoneis	Exakt	1010433	Accepterat	Tropidoneis	Cleve		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010433		Chromista	Gyrista	Mediophyceae	Lithodesmiales	Lithodesmiaceae		
Auriculaceae	Exakt	2003206	Accepterat	Auriculaceae	Hendey		Familj		urn:lsid: dyntaxa.se:Taxon: 2003206		Chromista	Gyrista	Bacillariophyceae	Surirellales			
Auricula	Exakt	1010485	Accepterat	Auricula	Castracane		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010485		Chromista	Gyrista	Bacillariophyceae	Surirellales	Auriculaceae		
Amphora ovalis	Exakt	237930	Accepterat	Amphora ovalis	(Kütz.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237930	"Frustulia ovalis Kütz.;Clevamphora ovalis (Kütz.) Mereschk."	Chromista	Gyrista	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	
Cymbellaceae	Exakt	2003202	Accepterat	Cymbellaceae	Kütz.		Familj		urn:lsid: dyntaxa.se:Taxon: 2003202		Chromista	Gyrista	Bacillariophyceae	Cymbellales			
Cymbella	Exakt	1010477	Accepterat	Cymbella	C.Agardh		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010477		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae		
Cymbella ehrenbergii	Exakt	237841	Accepterat	Cymbella ehrenbergii	Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237841		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	
Encyonema	Exakt	1010476	Accepterat	Encyonema	Kütz.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010476		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae		
Encyonema prostratum	Exakt	237831	Accepterat	Encyonema leibleinii	(C.Agardh) W.J.Silva & al.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237831	"Encyonema prostratum (Berk.) Kütz.;Monema prostratum Berk.;Encyonema leibleinii (C.Agardh) W.J.Silva, R.Jahn, T.A.V.Ludw., & Mariâng.Menezes;Gloionema leibleinii C.Agardh;Cymbella prostrata (Berk.) Cleve;Encyonema paradoxum Kütz."	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Encyonema	
Cymbella affinis	Exakt	237833	Accepterat	Cymbella affinis	Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237833		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	
Cymbella cymbiformis	Exakt	237840	Accepterat	Cymbella cymbiformis	C.Agardh		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237840		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	
Cymbella cistula	Exakt	237838	Accepterat	Cymbella cistula s.lat.	(Ehrenb.) Kirchn.		Kollektivtaxon	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237838	Cymbella cistula (Ehrenb.) Kirchn.	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	
Cymbella aspera	Exakt	237836	Accepterat	Cymbella aspera	(Ehrenb.) Cleve		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237836		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	
Gomphonemataceae	Exakt	2003203	Accepterat	Gomphonemataceae	Kütz.		Familj		urn:lsid: dyntaxa.se:Taxon: 2003203		Chromista	Gyrista	Bacillariophyceae	Cymbellales			
Gomphonema	Exakt	1010479	Accepterat	Gomphonema	Ehrenb.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010479		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae		
Gomphonema parvulum	Exakt	262781	Accepterat	Gomphonema parvulum	(Kütz.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262781		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Gomphonema angustatum	Exakt	237860	Accepterat	Gomphonema angustatum	(Kütz.) Rabenh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237860	Gomphonema angustatum var. angustatum 	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Gomphonema gracile	Exakt	237865	Accepterat	Gomphonema gracile	Ehrenb.		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 237865	Gomphonema gracile s.str. 	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Epithemia zebra	Exakt	256777	Accepterat	Epithemia zebra	(Ehrenb.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 256777		Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia	
Epithemia sorex	Exakt	237884	Accepterat	Epithemia sorex	Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237884		Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia	
Rhopalodia	Exakt	1010483	Accepterat	Rhopalodia	O.Müll.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010483		Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae		
Rhopalodia gibba	Exakt	237877	Accepterat	Rhopalodia gibba	(Ehrenb.) O.Müll.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237877	Navicula gibba Ehrenb.	Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Rhopalodia	
Rhopalodia gibberula	Exakt	237878	Accepterat	Rhopalodia gibberula	(Ehrenberg) O. Müller, 1899		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237878		Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Rhopalodia	
Rhopalodia musculus	Exakt	237879	Accepterat	Rhopalodia musculus	(Kützing) O. Müller, 1899		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237879		Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Rhopalodia	
Cylindrotheca gracilis	Exakt	237762	Accepterat	Cylindrotheca gracilis	(Bréb. ex Kütz.) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237762	Ceratoneis gracilis Bréb. ex Kütz.	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	
Hantzschia	Exakt	1010463	Accepterat	Hantzschia	Grunow		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010463		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae		
Hantzschia amphioxys	Exakt	237757	Accepterat	Hantzschia amphioxys	(Ehrenb.) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237757	"Eunotia amphioxys Ehrenb.;Nitzschia amphioxys (Ehrenb.) W.Sm."	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia	
Hantzschia virgata	Exakt	237759	Accepterat	Hantzschia virgata	(Roper) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237759	Nitzschia virgata Roper	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia	
Nitzschia dubia	Exakt	237718	Accepterat	Nitzschia dubia	W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237718		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia commutata	Exakt	237716	Accepterat	Nitzschia commutata	Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237716	Nitzschia commutata var. commutata 	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia socialis	Exakt	237749	Accepterat	Nitzschia socialis	W.Greg.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237749		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia angularis	Exakt	237712	Accepterat	Nitzschia angularis	W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237712		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia spathulata	Exakt	237750	Accepterat	Nitzschia spathulata	Bréb. ex W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237750		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia linearis	Exakt	237733	Accepterat	Nitzschia linearis	W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237733	"Nitzschia linearis var. linearis ;Nitzschia linearis s.str. "	Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia recta	Exakt	237744	Accepterat	Nitzschia recta	Hantzsch in Rabenh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237744		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia vitrea	Exakt	237756	Accepterat	Nitzschia vitrea	G.Norman		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237756		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia amphibia	Exakt	237711	Accepterat	Nitzschia amphibia	Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237711		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia pseudofonticola	Exakt	263031	Accepterat	Nitzschia pseudofonticola	Hust.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263031		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia fruticosa	Exakt	262989	Accepterat	Nitzschia fruticosa	Hust.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262989		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia sigmoidea	Exakt	237748	Accepterat	Nitzschia sigmoidea	(Nitzsch) W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237748		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia fasciculata	Exakt	237720	Accepterat	Nitzschia fasciculata	(Grunow) Grunow in Van Heurck		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237720		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia parvula	Exakt	263029	Accepterat	Nitzschia parvula	W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263029		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia obtusa	Exakt	237738	Accepterat	Nitzschia obtusa	W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237738		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Surirella biseriata	Exakt	237893	Accepterat	Surirella biseriata	Bréb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237893		Chromista	Gyrista	Bacillariophyceae	Surirellales	Surirellaceae	Surirella	
Surirella striatula	Exakt	237908	Accepterat	Surirella striatula	Turpin, 1828		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237908		Chromista	Gyrista	Bacillariophyceae	Surirellales	Surirellaceae	Surirella	
Campylodiscus	Exakt	1010490	Accepterat	Campylodiscus	Ehrenb. ex Kütz.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010490	Coronia (Ehrenb. ex Grunow) Ruck & Guiry	Chromista	Gyrista	Bacillariophyceae	Surirellales	Surirellaceae		
Asterionellopsis kariana	Exakt	237985	Accepterat	Asterionellopsis kariana	(Grunow in Cleve & Grunow) Round in Round et al., 1990		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237985		Chromista	Gyrista	Bacillariophyceae	Rhaphoneidales	Asterionellopsidaceae	Asterionellopsis	
Cerataulina pelagica	Exakt	237370	Accepterat	Cerataulina pelagica	(P.T. Cleve) Hendey, 1937		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237370	Zygoceros pelagicum Cleve	Chromista	Gyrista	Mediophyceae	Hemiaulales	Hemiaulaceae	Cerataulina	
Licmophorales	Exakt	3000609	Accepterat	Licmophorales	Round		Ordning		urn:lsid: dyntaxa.se:Taxon: 3000609		Chromista	Gyrista	Bacillariophyceae				
Chaetoceros cinctus	Exakt	237307	Accepterat	Chaetoceros cinctus	Gran, 1897		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237307		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Chaetoceros contortus	Exakt	237312	Accepterat	Chaetoceros contortus	Schütt, 1895		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237312		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Chaetoceros furcellatus	Exakt	237327	Accepterat	Chaetoceros furcellatus	Bailey, 1856		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237327		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Rhizosolenia styliformis	Exakt	237472	Accepterat	Rhizosolenia styliformis	Brightwell, 1858		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237472		Chromista	Gyrista	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	
Stephanopyxis	Exakt	1010410	Accepterat	Stephanopyxis	(Ehrenb.) Ehrenb.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010410		Chromista	Gyrista	Coscinodiscophyceae	Stephanopyxidales	Stephanopyxidaceae		
Stephanopyxis turris	Exakt	237448	Accepterat	Stephanopyxis turris	(Greville & Arnott in Gregory) Ralfs in Pritchard, 1861		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237448		Chromista	Gyrista	Coscinodiscophyceae	Stephanopyxidales	Stephanopyxidaceae	Stephanopyxis	
Amphipleuraceae	Exakt	2003180	Accepterat	Amphipleuraceae	Grunow		Familj		urn:lsid: dyntaxa.se:Taxon: 2003180		Chromista	Gyrista	Bacillariophyceae	Naviculales			
Detonula pumila	Exakt	237213	Accepterat	Detonula pumila	(Castracane) Schütt, 1896		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237213		Chromista	Gyrista	Mediophyceae	Thalassiosirales	Skeletonemaceae	Detonula	
Aulacoseira islandica	Exakt	237397	Accepterat	Aulacoseira islandica	(O.Müll.) Simonsen		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237397	Melosira islandica O.Müll.	Chromista	Gyrista	Coscinodiscophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	
Azpeitia	Exakt	1010404	Accepterat	Azpeitia	M. Peragallo		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010404		Chromista	Gyrista	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae		
Azpeitia nodulifera	Exakt	237428	Accepterat	Azpeitia nodulifera	(A. Schmidt) Fryxell & Sims in Fryxell, Sims & Watkins, 1986		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237428		Chromista	Gyrista	Coscinodiscophyceae	Coscinodiscales	Hemidiscaceae	Azpeitia	
Stellarima	Exakt	1010401	Accepterat	Stellarima	Hasle & P.A. Sims		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010401		Chromista	Gyrista	Coscinodiscophyceae	Stellarimales	Stellarimaceae		
Stellarima stellaris	Exakt	237406	Accepterat	Stellarima stellaris	(Roper) Hasle & Sims, 1986		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237406		Chromista	Gyrista	Coscinodiscophyceae	Stellarimales	Stellarimaceae	Stellarima	
Entomoneidaceae	Exakt	2003371	Accepterat	Entomoneidaceae	Reimer in Patrick & Reimer		Familj		urn:lsid: dyntaxa.se:Taxon: 2003371		Chromista	Gyrista	Bacillariophyceae	Surirellales			
Albuginaceae	Exakt	2003680	Accepterat	Albuginaceae	J.Schröt.		Familj		urn:lsid: dyntaxa.se:Taxon: 2003680		Chromista	Gyrista	Oomycetes				
Codonellidae	Exakt	2003097	Accepterat	Codonellidae	Kent, 1881		Familj		urn:lsid: dyntaxa.se:Taxon: 2003097		Chromista	Ciliophora	Spirotrichea	Tintinnida			
Codonella	Exakt	1010543	Accepterat	Codonella			Släkte		urn:lsid: dyntaxa.se:Taxon: 1010543		Chromista	Ciliophora	Spirotrichea	Tintinnida	Codonellidae		
Metacylididae	Exakt	2003258	Accepterat	Metacylididae	Kofoid & Campbell, 1929		Familj		urn:lsid: dyntaxa.se:Taxon: 2003258	Metacyclididae 	Chromista	Ciliophora	Spirotrichea	Tintinnida			
Coxliella	Exakt	1010655	Accepterat	Coxliella	Brandt		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010655		Chromista	Ciliophora	Spirotrichea	Tintinnida	Metacylididae		
Salpingoeca frequentissima	Exakt	238142	Accepterat	Salpingoeca frequentissima	(O. Zacharias) Lemmerm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238142		Protozoa	Choanozoa	Choanoflagellatea	Craspedida	Salpingoecaceae	Salpingoeca	
Bicosoeca mitra var. suecica	Exakt	257778	Accepterat	Bicosoeca mitra var. suecica			Varietet	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 257778		Chromista	Bigyra	Bikosea	Bicosoecales	Bicosoecaceae	Bicosoeca	Bicosoeca mitra
Lepidochromonas butcheri	Exakt	237061	Accepterat	Lepidochromonas butcheri	(Pennick & K.J.Clarke) Kapustin & Guiry		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237061	Paraphysomonas butcheri Pennick & Clarke, 1972	Chromista	Gyrista	Chrysophyceae	Chromulinales	Paraphysomonadaceae	Lepidochromonas	
Lepidochromonas subquadrangularis	Exakt	237075	Accepterat	Lepidochromonas subquadrangularis	(Preisig & D.J.Hibberd) Kapustin & Guiry		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237075	Paraphysomonas subquadrangularis Preisig & Hibberd, 1982	Chromista	Gyrista	Chrysophyceae	Chromulinales	Paraphysomonadaceae	Lepidochromonas	
Cryptomonas ovata	Exakt	238032	Accepterat	Cryptomonas ovata	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238032		Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	
Cryptomonas erosa	Exakt	238030	Accepterat	Cryptomonas erosa	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238030		Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	
Diplopsalopsis bomba	Exakt	238234	Accepterat	Diplopsalopsis bomba	(Stein ex E. Jørgensen) Dodge & Toriumi, 1993]		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238234		Chromista	Miozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Diplopsalopsis	
Ulva clathrata	Exakt	232795	Accepterat	Ulva clathrata	(Roth) C.Agardh	gallertarmalg	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232795	"Conferva clathrata Roth;Enteromorpha crinita Nees;Enteromorpha linkiana Grev.;Enteromorpha paradoxa var. tenuissima (Kütz.) Kütz.;Enteromorpha clathrata (Roth) Grev.;Enteromorpha ramulosa (Sm.) Carmich."	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	
Feldmannia globifera	Exakt	232668	Accepterat	Feldmannia globifera	(Kütz.) Hamel	kulrandslick	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232668	Ectocarpus globifer Kütz.	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Acinetosporaceae	Feldmannia	
Leptolyngbya terebrans	Exakt	263580	Accepterat	Leptolyngbya terebrans	(Bornet & Flahault ex Gomont) Anagn. & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263580	Plectonema terebrans Bornet & Flahault ex Gomont	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae	Leptolyngbya	
Myrionema foecundum	Exakt	232704	Accepterat	Chilionema foecundum	(Strömf.) R.L.Fletcher		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232704	"Ascocyclus sphaerophorus Sauv.;Ascocyclus saccharinae Cotton;Chilionema boergesenii Printz;Ascocyclus distromaticus W.R.Taylor;Hecatonema foecundum (Strömf.) Loiseaux;Phycocelis foecunda Strömf.;Ascocyclus foecundus (Strömf.) Reinke;Myrionema foecundum (Strömf.) Sauv."	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae	Chilionema	
Myrionema magnusii	Exakt	232697	Accepterat	Myrionema magnusii	(Sauv.) Loiseaux		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232697	Ascocyclus magnusii Sauv.	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae	Myrionema	
Phormidium chalybeum	Exakt	236756	Accepterat	Phormidium chalybeum	(Mertens ex Gomont) Anagn. & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 236756		Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Phormidium	
