AphiaID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	taxonRank	Genus	Subgenus	Species	Subspecies	taxonomicStatus	Unacceptreason	LSID
1308689	Amphidiniaceae	Moestrup & Calado, 2018	1308689	Amphidiniaceae	Moestrup & Calado, 2018	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Family					accepted		urn:lsid:marinespecies.org:taxname:1308689
1308688	Amphidiniales	Moestrup & Calado, 2018	1308688	Amphidiniales	Moestrup & Calado, 2018	Chromista	Myzozoa	Dinophyceae	Amphidiniales		Order					accepted		urn:lsid:marinespecies.org:taxname:1308688
109473	Amphidinium	Claperède & Lachmann, 1859	109473	Amphidinium	Claperède & Lachmann, 1859	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Genus	Amphidinium				accepted		urn:lsid:marinespecies.org:taxname:109473
109723	Amphidinium carterae	Hulburt, 1957	109723	Amphidinium carterae	Hulburt, 1957	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Species	Amphidinium		carterae		accepted		urn:lsid:marinespecies.org:taxname:109723
547429	Amphidinium gibbosum	(L.Maranda & Y.Shimizu) Flø Jørgensen & Shauna Murray, 2004	547429	Amphidinium gibbosum	(L.Maranda & Y.Shimizu) Flø Jørgensen & Shauna Murray, 2004	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Species	Amphidinium		gibbosum		accepted		urn:lsid:marinespecies.org:taxname:547429
109735	Amphidinium klebsii	Kofoid & Swezy, 1921	109735	Amphidinium klebsii	Kofoid & Swezy, 1921	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Species	Amphidinium		klebsii		accepted		urn:lsid:marinespecies.org:taxname:109735
109745	Amphidinium operculatum	Claparède & Lachmann, 1859	109745	Amphidinium operculatum	Claparède & Lachmann, 1859	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Species	Amphidinium		operculatum		accepted		urn:lsid:marinespecies.org:taxname:109745
233794	Amphidinium operculatum var. gibbosum	L.Maranda & Y.Shimizu, 1996	547429	Amphidinium gibbosum	(L.Maranda & Y.Shimizu) Flø Jørgensen & Shauna Murray, 2004	Chromista	Myzozoa	Dinophyceae	Amphidiniales	Amphidiniaceae	Variety	Amphidinium		operculatum		unaccepted	synonym	urn:lsid:marinespecies.org:taxname:233794
109517	Amphidoma	Stein, 1883	109517	Amphidoma	Stein, 1883	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Genus	Amphidoma				accepted		urn:lsid:marinespecies.org:taxname:109517
729889	Amphidoma languida	Tillmann, Salas & Elbrächter, 2012	729889	Amphidoma languida	Tillmann, Salas & Elbrächter, 2012	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Species	Amphidoma		languida		accepted		urn:lsid:marinespecies.org:taxname:729889
231796	Amphidomataceae	Sournia, 1984	231796	Amphidomataceae	Sournia, 1984	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Family					accepted		urn:lsid:marinespecies.org:taxname:231796
149642	Amphipleuraceae	Grunow, 1862	149642	Amphipleuraceae	Grunow, 1862	Chromista	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Family					accepted		urn:lsid:marinespecies.org:taxname:149642
146585	Anabaena	Bory de Saint-Vincent ex Bornet & Flahault, 1886	146585	Anabaena	Bory de Saint-Vincent ex Bornet & Flahault, 1886	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Genus	Anabaena				accepted		urn:lsid:marinespecies.org:taxname:146585
576811	Anabaena bergii	Ostenfeld, 1908	837529	Chrysosporum bergii	(Ostenfeld) E.Zapomelová, O.Skácelová, P.Pumann, R.Kopp & E.Janecek, 2012	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Anabaena		bergii		unaccepted		urn:lsid:marinespecies.org:taxname:576811
177649	Anabaena cylindrica	Lemmermann, 1896	177649	Anabaena cylindrica	Lemmermann, 1896	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Anabaena		cylindrica		accepted		urn:lsid:marinespecies.org:taxname:177649
609454	Anabaena lapponica	Borge, 1913	609454	Anabaena lapponica	Borge, 1913	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Anabaena		lapponica		accepted		urn:lsid:marinespecies.org:taxname:609454
451629	Anabaena macrospora	Klebahn, 1895	625403	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Aphanizomenonaceae	Species	Anabaena		macrospora		unaccepted		urn:lsid:marinespecies.org:taxname:451629
