scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Strombidium wulffi	Kahl, 1932	Species	101344	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101344	Strombidium	101195	accepted	101344	Strombidium wulffi	Kahl, 1932	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium wulffi
Tontonia appendiculariformis	Fauré-Fremiet, 1914	Species	101345	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101345	Tontonia	101196	accepted	101345	Tontonia appendiculariformis	Fauré-Fremiet, 1914	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Tontonia - [Species] Tontonia appendiculariformis
Strombidinopsis acuminata	Fauré-Fremiet, 1924	Species	101350	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101350	Strombidinopsis	101198	accepted	101350	Strombidinopsis acuminata	Fauré-Fremiet, 1924	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strombidinopsina - [Family] Strombidinopsidae - [Genus] Strombidinopsis - [Species] Strombidinopsis acuminata
Sphacelariales	Migula, 1909	Order	1028	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1028	Dictyotophycidae	1304855	accepted	1028	Sphacelariales	Migula, 1909	Chromista	Ochrophyta	Phaeophyceae	Sphacelariales			[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Class] Phaeophyceae - [Subclass] Dictyotophycidae - [Order] Sphacelariales
Amastigomonas	De Saedeleer	Genus	103425	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103425	Protozoa incertae sedis	22718	accepted	103425	Amastigomonas	De Saedeleer	Protozoa					Amastigomonas	[Superdomain] Biota - [Kingdom] Protozoa - [Subkingdom] Protozoa incertae sedis - [Genus] Amastigomonas
Amastigomonas debruynei	Saedeleer, 1931	Species	103429	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103429	Amastigomonas	103425	accepted	103429	Amastigomonas debruynei	Saedeleer, 1931	Protozoa					Amastigomonas	[Superdomain] Biota - [Kingdom] Protozoa - [Subkingdom] Protozoa incertae sedis - [Genus] Amastigomonas - [Species] Amastigomonas debruynei
Amastigomonas mutabilis	(Griessmann) Molina & Nerad, 1991	Species	103430	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103430	Amastigomonas	103425	uncertain				Protozoa					Amastigomonas	[Superdomain] Biota - [Kingdom] Protozoa - [Subkingdom] Protozoa incertae sedis - [Genus] Amastigomonas - [Species] Amastigomonas mutabilis
Cafeteria	T.Fenchel & D.J.Patterson, 1988	Genus	103989	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103989	Cafeteriaceae	17616	accepted	103989	Cafeteria	T.Fenchel & D.J.Patterson, 1988	Chromista	Bigyra	Bicosoecophyceae	Caecitellales	Cafeteriaceae	Cafeteria	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecophytina - [Class] Bicosoecophyceae - [Subclass] Bicosoecophycidae - [Order] Caecitellales - [Family] Cafeteriaceae - [Genus] Cafeteria
Pseudobodo	Griessmann, 1913	Genus	103990	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103990	Cafeteriaceae	17616	accepted	103990	Pseudobodo	Griessmann, 1913	Chromista	Bigyra	Bicosoecophyceae	Caecitellales	Cafeteriaceae	Pseudobodo	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecophytina - [Class] Bicosoecophyceae - [Subclass] Bicosoecophycidae - [Order] Caecitellales - [Family] Cafeteriaceae - [Genus] Pseudobodo
Caecitellus	D.J.Patterson, K.Nygaard, G.Steinberg & Turley, 1993	Genus	103991	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103991	Caecitellidae	593499	accepted	103991	Caecitellus	D.J.Patterson, K.Nygaard, G.Steinberg & Turley, 1993	Chromista	Bigyra	Bicoecea	Anoecida	Caecitellidae	Caecitellus	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Anoecida - [Family] Caecitellidae - [Genus] Caecitellus
